Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_432.jpg,0,0,0,0,99.66999,85.58897,0.0002360451,56.82556,-6.598455E-08
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_482.jpg,0,0,0,0,99.66999,85.58897,0.0002360603,56.82556,-1.171242E-07
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_533.jpg,0,0,0,0,99.66999,85.58897,0.0002360756,56.82556,-1.682639E-07
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_582.jpg,0,0.1506412,0,0.01000814,99.67001,85.589,0.001534583,56.82533,-1.620106E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_632.jpg,0,0,0.299624,0.03536693,99.67065,85.58999,0.02644888,56.82539,1.794259E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_682.jpg,0,0,0.450515,0,99.67065,85.59,0.02394474,56.82539,5.418211E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_732.jpg,0,0,0.5997885,0,99.67065,85.59,0.0221214,56.8254,7.661034E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_782.jpg,0,0,0.7503554,0,99.67065,85.59,0.01920578,56.82539,1.064883E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_832.jpg,0,0,0.9003124,0,99.67064,85.59,0.0171729,56.82539,1.239056E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_882.jpg,0,0,1,0,99.67064,85.59,0.0140423,56.82539,1.442744E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_932.jpg,0,0,1,0,99.67063,85.59,0.01193055,56.82539,1.555719E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_12_982.jpg,0,0,1,0,99.67062,85.59,0.008772867,56.82539,1.693123E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_031.jpg,0,0,1,0,99.67062,85.59,0.006700843,56.82539,1.775853E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_081.jpg,0,0,1,0,99.67062,85.59,0.003682632,56.82538,1.858375E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_139.jpg,0,0,1,0,99.67061,85.59001,0.0008179196,56.82539,1.886369E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_186.jpg,0,0,1,0,99.67061,85.59001,-0.0009848387,56.82538,1.85516E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_231.jpg,0,0,1,0,99.67061,85.59002,-0.00268855,56.82538,1.80664E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_282.jpg,0,0,1,0,99.67061,85.59002,-0.005037563,56.82538,1.756375E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_332.jpg,0,0,1,0,99.67061,85.59002,359.9936,56.82538,1.699814E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_382.jpg,0,0,1,0,99.67062,85.59001,359.9917,56.82538,1.590508E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_447.jpg,0,0,1,0,99.67062,85.59001,359.9901,56.82538,1.446767E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_490.jpg,0,0,1,0,99.67062,85.59001,359.9892,56.82539,1.347362E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_531.jpg,0,0,1,0,99.67062,85.59002,359.9885,56.82539,1.212667E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_581.jpg,0,0,1,0,99.67061,85.59002,359.9876,56.82538,1.050938E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_637.jpg,0,0,0,0,99.67061,85.59001,359.9872,56.82538,9.545756E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_681.jpg,0,0,0,0,99.67061,85.59001,359.9868,56.82538,7.928254E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_738.jpg,0,0,0,0,99.6706,85.59001,359.9868,56.82538,6.09606E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_783.jpg,0,0,0,0,99.67061,85.59001,359.9869,56.82538,4.970063E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_831.jpg,0,0,0,0,99.67061,85.59001,359.9871,56.82538,3.884503E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_881.jpg,0,0,0,0,99.67061,85.59002,359.9876,56.82538,2.237821E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_936.jpg,0,0,0,0,99.67062,85.59003,359.988,56.82539,1.176023E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_13_981.jpg,0,0,0,0,99.67062,85.59002,359.9889,56.82539,-2.305356E-07
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_033.jpg,0,0,0,0,99.67063,85.59001,359.9895,56.82539,-1.073262E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_082.jpg,0,0,0,0,99.67064,85.59,359.9906,56.8254,-1.876384E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_133.jpg,2.019709,0,0,0,99.67064,85.59,359.9914,56.94658,1.526287E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_182.jpg,5.044765,0,0,0,99.67063,85.59,359.9926,57.6717,9.801533E-05
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_232.jpg,7.008964,0,0,0,99.67062,85.59,359.9935,58.45462,0.0001635904
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_282.jpg,7.03635,0,0,0,99.67062,85.59,-0.005191566,59.65789,0.0002115091
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_331.jpg,10.02572,0,0,0,99.67061,85.59,-0.004304924,60.74117,0.0002294769
